image_path,label,cell,score
data/corpus/images/OpenImagesV7/c2/c227d829da28ed9e30d965afdccf103250e72b5ee670db9a14208bd184b94493.jpg,0,clean,0.21943669021129608
data/corpus/images/OpenImagesV7/c2/c227d829da28ed9e30d965afdccf103250e72b5ee670db9a14208bd184b94493.jpg,0,jpeg_90,0.383809357881546
data/corpus/images/OpenImagesV7/c2/c227d829da28ed9e30d965afdccf103250e72b5ee670db9a14208bd184b94493.jpg,0,jpeg_70,0.2697679400444031
data/corpus/images/OpenImagesV7/c2/c227d829da28ed9e30d965afdccf103250e72b5ee670db9a14208bd184b94493.jpg,0,jpeg_50,0.14408528804779053
data/corpus/images/OpenImagesV7/c2/c227d829da28ed9e30d965afdccf103250e72b5ee670db9a14208bd184b94493.jpg,0,jpeg_30,0.14870156347751617
data/corpus/images/OpenImagesV7/c2/c227d829da28ed9e30d965afdccf103250e72b5ee670db9a14208bd184b94493.jpg,0,blur_0.5,0.22237415611743927
data/corpus/images/OpenImagesV7/c2/c227d829da28ed9e30d965afdccf103250e72b5ee670db9a14208bd184b94493.jpg,0,blur_1.0,0.1866646111011505
data/corpus/images/OpenImagesV7/c2/c227d829da28ed9e30d965afdccf103250e72b5ee670db9a14208bd184b94493.jpg,0,blur_2.0,0.15127675235271454
data/corpus/images/OpenImagesV7/c2/c227d829da28ed9e30d965afdccf103250e72b5ee670db9a14208bd184b94493.jpg,0,resize_0.5,0.15333476662635803
data/corpus/images/OpenImagesV7/c2/c227d829da28ed9e30d965afdccf103250e72b5ee670db9a14208bd184b94493.jpg,0,resize_0.25,0.1108408123254776
data/corpus/images/OpenImagesV7/c2/c227d829da28ed9e30d965afdccf103250e72b5ee670db9a14208bd184b94493.jpg,0,noise_0.02,0.14055857062339783
data/corpus/images/OpenImagesV7/c2/c227d829da28ed9e30d965afdccf103250e72b5ee670db9a14208bd184b94493.jpg,0,noise_0.05,0.13386139273643494
data/corpus/images/OpenImagesV7/c2/c227d829da28ed9e30d965afdccf103250e72b5ee670db9a14208bd184b94493.jpg,0,noise_0.1,0.16138766705989838
data/corpus/images/OpenImagesV7/c2/c227d829da28ed9e30d965afdccf103250e72b5ee670db9a14208bd184b94493.jpg,0,jitter_0.2,0.22287839651107788
data/corpus/images/OpenImagesV7/c2/c227d829da28ed9e30d965afdccf103250e72b5ee670db9a14208bd184b94493.jpg,0,center_crop_0.8,0.2872130870819092
data/corpus/images/OpenImagesV7/c2/c227d829da28ed9e30d965afdccf103250e72b5ee670db9a14208bd184b94493.jpg,0,composed_blur1.0+jpeg70,0.2200510948896408
data/corpus/images/OpenImagesV7/c2/c227d829da28ed9e30d965afdccf103250e72b5ee670db9a14208bd184b94493.jpg,0,composed_resize0.5+jpeg50,0.16727054119110107
data/corpus/images/OpenImagesV7/c2/c227d829da28ed9e30d965afdccf103250e72b5ee670db9a14208bd184b94493.jpg,0,composed_jitter0.2+jpeg30,0.19972944259643555
data/corpus/images/OpenImagesV7/c2/c227d829da28ed9e30d965afdccf103250e72b5ee670db9a14208bd184b94493.jpg,0,composed_resize0.25+blur0.5+jpeg30,0.18218372762203217
data/corpus/images/OpenImagesV7/cb/cbf91aeffa7c8fd2ad83ed64e66f698e30266026f510428175f320ee81b7757f.jpg,0,clean,0.019803497940301895
data/corpus/images/OpenImagesV7/cb/cbf91aeffa7c8fd2ad83ed64e66f698e30266026f510428175f320ee81b7757f.jpg,0,jpeg_90,0.026751702651381493
data/corpus/images/OpenImagesV7/cb/cbf91aeffa7c8fd2ad83ed64e66f698e30266026f510428175f320ee81b7757f.jpg,0,jpeg_70,0.020746126770973206
data/corpus/images/OpenImagesV7/cb/cbf91aeffa7c8fd2ad83ed64e66f698e30266026f510428175f320ee81b7757f.jpg,0,jpeg_50,0.01792643405497074
data/corpus/images/OpenImagesV7/cb/cbf91aeffa7c8fd2ad83ed64e66f698e30266026f510428175f320ee81b7757f.jpg,0,jpeg_30,0.007341515738517046
data/corpus/images/OpenImagesV7/cb/cbf91aeffa7c8fd2ad83ed64e66f698e30266026f510428175f320ee81b7757f.jpg,0,blur_0.5,0.016454996541142464
data/corpus/images/OpenImagesV7/cb/cbf91aeffa7c8fd2ad83ed64e66f698e30266026f510428175f320ee81b7757f.jpg,0,blur_1.0,0.011326786130666733
data/corpus/images/OpenImagesV7/cb/cbf91aeffa7c8fd2ad83ed64e66f698e30266026f510428175f320ee81b7757f.jpg,0,blur_2.0,0.02097182720899582
data/corpus/images/OpenImagesV7/cb/cbf91aeffa7c8fd2ad83ed64e66f698e30266026f510428175f320ee81b7757f.jpg,0,resize_0.5,0.013972504995763302
data/corpus/images/OpenImagesV7/cb/cbf91aeffa7c8fd2ad83ed64e66f698e30266026f510428175f320ee81b7757f.jpg,0,resize_0.25,0.012506266124546528
data/corpus/images/OpenImagesV7/cb/cbf91aeffa7c8fd2ad83ed64e66f698e30266026f510428175f320ee81b7757f.jpg,0,noise_0.02,0.006175318732857704
data/corpus/images/OpenImagesV7/cb/cbf91aeffa7c8fd2ad83ed64e66f698e30266026f510428175f320ee81b7757f.jpg,0,noise_0.05,0.009851433336734772
data/corpus/images/OpenImagesV7/cb/cbf91aeffa7c8fd2ad83ed64e66f698e30266026f510428175f320ee81b7757f.jpg,0,noise_0.1,0.02811882644891739
data/corpus/images/OpenImagesV7/cb/cbf91aeffa7c8fd2ad83ed64e66f698e30266026f510428175f320ee81b7757f.jpg,0,jitter_0.2,0.0150068374350667
data/corpus/images/OpenImagesV7/cb/cbf91aeffa7c8fd2ad83ed64e66f698e30266026f510428175f320ee81b7757f.jpg,0,center_crop_0.8,0.030358506366610527
data/corpus/images/OpenImagesV7/cb/cbf91aeffa7c8fd2ad83ed64e66f698e30266026f510428175f320ee81b7757f.jpg,0,composed_blur1.0+jpeg70,0.026884371414780617
data/corpus/images/OpenImagesV7/cb/cbf91aeffa7c8fd2ad83ed64e66f698e30266026f510428175f320ee81b7757f.jpg,0,composed_resize0.5+jpeg50,0.039128098636865616
data/corpus/images/OpenImagesV7/cb/cbf91aeffa7c8fd2ad83ed64e66f698e30266026f510428175f320ee81b7757f.jpg,0,composed_jitter0.2+jpeg30,0.015613705851137638
data/corpus/images/OpenImagesV7/cb/cbf91aeffa7c8fd2ad83ed64e66f698e30266026f510428175f320ee81b7757f.jpg,0,composed_resize0.25+blur0.5+jpeg30,0.01796484738588333
data/corpus/images/OpenImagesV7/a8/a88d3de204dd5e3646d906fbed195f9f170900291b593bc6f83d95a9cb42de31.jpg,0,clean,0.00772223062813282
data/corpus/images/OpenImagesV7/a8/a88d3de204dd5e3646d906fbed195f9f170900291b593bc6f83d95a9cb42de31.jpg,0,jpeg_90,0.008369657211005688
data/corpus/images/OpenImagesV7/a8/a88d3de204dd5e3646d906fbed195f9f170900291b593bc6f83d95a9cb42de31.jpg,0,jpeg_70,0.005651756189763546
data/corpus/images/OpenImagesV7/a8/a88d3de204dd5e3646d906fbed195f9f170900291b593bc6f83d95a9cb42de31.jpg,0,jpeg_50,0.004427080973982811
data/corpus/images/OpenImagesV7/a8/a88d3de204dd5e3646d906fbed195f9f170900291b593bc6f83d95a9cb42de31.jpg,0,jpeg_30,0.006792414467781782
data/corpus/images/OpenImagesV7/a8/a88d3de204dd5e3646d906fbed195f9f170900291b593bc6f83d95a9cb42de31.jpg,0,blur_0.5,0.006668232847005129
data/corpus/images/OpenImagesV7/a8/a88d3de204dd5e3646d906fbed195f9f170900291b593bc6f83d95a9cb42de31.jpg,0,blur_1.0,0.005846905522048473
data/corpus/images/OpenImagesV7/a8/a88d3de204dd5e3646d906fbed195f9f170900291b593bc6f83d95a9cb42de31.jpg,0,blur_2.0,0.0038068227004259825
data/corpus/images/OpenImagesV7/a8/a88d3de204dd5e3646d906fbed195f9f170900291b593bc6f83d95a9cb42de31.jpg,0,resize_0.5,0.007956400513648987
data/corpus/images/OpenImagesV7/a8/a88d3de204dd5e3646d906fbed195f9f170900291b593bc6f83d95a9cb42de31.jpg,0,resize_0.25,0.002739184070378542
data/corpus/images/OpenImagesV7/a8/a88d3de204dd5e3646d906fbed195f9f170900291b593bc6f83d95a9cb42de31.jpg,0,noise_0.02,0.010260837152600288
data/corpus/images/OpenImagesV7/a8/a88d3de204dd5e3646d906fbed195f9f170900291b593bc6f83d95a9cb42de31.jpg,0,noise_0.05,0.012090830132365227
